Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
301dcebd87ee9a9bc892d41626794729c3895b9dc13e9204f157b72bc6cd9a6d,2016-05,Staffordshire Police,Staffordshire Police,-2.117551,52.993765,On or near VERONA GROVE,E01014301,Stoke-on-Trent 025B,Further investigation is not in the public interest
37f6329ab39d5cd97708238d55e3a54c2de728845ad3f984d7ce57d303496c0b,2016-05,Staffordshire Police,Staffordshire Police,-1.994374,52.979729,On or near SPODE CLOSE,E01029785,Staffordshire Moorlands 013B,Further investigation is not in the public interest
a41939a6dba5196a6ff74d620a3aa320d7b4005d4448e09dc9b60e7009bf600f,2016-05,Staffordshire Police,Staffordshire Police,-1.983882,52.998848,On or near HAMMERSLEY HAYES ROAD,E01029796,Staffordshire Moorlands 010D,Further investigation is not in the public interest
96436a898c0f57f1ddaafa79b014ccd55f345f6ba0d20427744bac04b0e855cf,2016-05,Staffordshire Police,Staffordshire Police,-1.984850,52.998362,On or near FOXFIELD CLOSE,E01029782,Staffordshire Moorlands 010B,Further investigation is not in the public interest
acadb9f7dc66993956e97d8b4d330b96abd89e2fb5b317a73d7abac9436c81f3,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Further investigation is not in the public interest
8cb66108f37268b8f69c58d21aa23715a1bfbf52aff9e777381e633c6842652c,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Action to be taken by another organisation
cb78cfbeee941c3319516fef25cd78046f116690d2d9ee680f91a5dbafee56b9,2016-05,Staffordshire Police,Staffordshire Police,-2.259892,53.083565,On or near ST SAVIOUR'S STREET,E01029541,Newcastle-under-Lyme 003B,Further investigation is not in the public interest
c6df8253284e5453ce3b2a75927d62abebc8deedb5f605c3848591deb2a0bb7d,2016-05,Staffordshire Police,Staffordshire Police,-2.146639,53.030831,On or near GREYFRIARS ROAD,E01014210,Stoke-on-Trent 012A,Further investigation is not in the public interest
b7ab4416dc9ee44478196e712289332dcc4bd1d7d0e587dfd93b2bcc5c3e9fdd,2016-05,Staffordshire Police,Staffordshire Police,-2.138849,53.029070,On or near NEWHOUSE ROAD,E01014212,Stoke-on-Trent 012C,Further investigation is not in the public interest
87904bacfa31a6bb8dfe858e4a9dcb738170b902bebbbf9a2b853a9c12dd6692,2016-05,Staffordshire Police,Staffordshire Police,-2.241746,53.042326,On or near BRADWELL LANE,E01029558,Newcastle-under-Lyme 006E,Further investigation is not in the public interest
d30747d6515bf621c39b5d7b7a728acaab519387487cf774b8335f66af4c79ac,2016-05,Staffordshire Police,Staffordshire Police,-2.186136,52.999287,On or near YEAMAN STREET,E01014345,Stoke-on-Trent 019E,Further investigation is not in the public interest
99736b048a8e78b21349af72c8aa024310d4f25690fa7543cd46a3ca1444f960,2016-05,Staffordshire Police,Staffordshire Police,-1.982393,52.994605,On or near NESS GROVE,E01029781,Staffordshire Moorlands 011A,Further investigation is not in the public interest
ac147f34c1fae85bb941038c7ed60dfa416465f7503e0c0a9624da79308d4025,2016-05,Staffordshire Police,Staffordshire Police,-2.261938,53.076271,On or near SWAN BANK,E01029596,Newcastle-under-Lyme 004E,Further investigation is not in the public interest
8b6c97072f7c9c977e771d122c7b49afca15a97c68dccf95969ac0b82d137a63,2016-05,Staffordshire Police,Staffordshire Police,-2.209408,53.001846,On or near GRINDLEY HILL COURT,E01014294,Stoke-on-Trent 018F,Further investigation is not in the public interest
7a8eb1eb0c3a2f2e08325be2a2dc713b8be8b8cc62fc6e4f1f701e8b3fddce6a,2016-05,Staffordshire Police,Staffordshire Police,-2.260792,52.987946,On or near LYMES ROAD,E01029570,Newcastle-under-Lyme 016B,Further investigation is not in the public interest
7bac979a8950c5b25860384fabd1ccb9a666eaadb6308b41bb9d69c45745bd0f,2016-05,Staffordshire Police,Staffordshire Police,-2.350397,52.992048,On or near BAR HILL,E01029574,Newcastle-under-Lyme 013C,Further investigation is not in the public interest
bff79a6c0429c631c7afafe9d6198ab6de496bc7bad990c2c3386ad24d810125,2016-05,Staffordshire Police,Staffordshire Police,-2.178061,53.028361,On or near HOPE STREET,E01014287,Stoke-on-Trent 015D,Further investigation is not in the public interest
0752c28da98ffb5fa836cb50ee640bc691fc385d1c8dc297afd279fdc1b37325,2016-05,Staffordshire Police,Staffordshire Police,-2.253237,53.048495,On or near APPLECROFT,E01029545,Newcastle-under-Lyme 004C,Further investigation is not in the public interest
aeb99ae120bf68e4596f43ef95e428bf032b4be3c71ca513798afe138808a8bc,2016-05,Staffordshire Police,Staffordshire Police,-2.183843,53.003237,On or near WELCH STREET,E01014345,Stoke-on-Trent 019E,Further investigation is not in the public interest
635115a711d53d70db2e5f0d7cdf776f64b65615dbb986e899665b13368dd170,2016-05,Staffordshire Police,Staffordshire Police,-2.226084,52.996449,On or near THIRLMERE PLACE,E01029607,Newcastle-under-Lyme 014F,Further investigation is not in the public interest
ef292005ab9aab7258547ca0b2fe75898044c7ccc4dd7f0ab2ca9c2aed6db969,2016-05,Staffordshire Police,Staffordshire Police,-2.106032,52.980508,On or near HAZEL GROVE,E01014321,Stoke-on-Trent 028A,Further investigation is not in the public interest
291aea05c92779a1456b842bcb0ccedb814da1088e9ee46ffc95fb7948aecc86,2016-05,Staffordshire Police,Staffordshire Police,-2.218417,53.071433,On or near MARLDON PLACE,E01014358,Stoke-on-Trent 002B,Further investigation is not in the public interest
f184fa529b395a1e27987126c1d05b724141843f0ed6a141a7dc30a2812c33bb,2016-05,Staffordshire Police,Staffordshire Police,-2.171683,53.025557,On or near OLD HALL STREET,E01014287,Stoke-on-Trent 015D,Further investigation is not in the public interest
f184fa529b395a1e27987126c1d05b724141843f0ed6a141a7dc30a2812c33bb,2016-05,Staffordshire Police,Staffordshire Police,-2.171683,53.025557,On or near OLD HALL STREET,E01014287,Stoke-on-Trent 015D,Further investigation is not in the public interest
f184fa529b395a1e27987126c1d05b724141843f0ed6a141a7dc30a2812c33bb,2016-05,Staffordshire Police,Staffordshire Police,-2.171683,53.025557,On or near OLD HALL STREET,E01014287,Stoke-on-Trent 015D,Further investigation is not in the public interest
7bbdfcdf9bad940eab464c8249b20390339e86e015adca16ae3b70cea63d1c8c,2016-05,Staffordshire Police,Staffordshire Police,-2.171683,53.025557,On or near OLD HALL STREET,E01014287,Stoke-on-Trent 015D,Further investigation is not in the public interest
7bbdfcdf9bad940eab464c8249b20390339e86e015adca16ae3b70cea63d1c8c,2016-05,Staffordshire Police,Staffordshire Police,-2.171683,53.025557,On or near OLD HALL STREET,E01014287,Stoke-on-Trent 015D,Further investigation is not in the public interest
7bbdfcdf9bad940eab464c8249b20390339e86e015adca16ae3b70cea63d1c8c,2016-05,Staffordshire Police,Staffordshire Police,-2.171683,53.025557,On or near OLD HALL STREET,E01014287,Stoke-on-Trent 015D,Further investigation is not in the public interest
e78b73e9b9c29d7455bb5ece395835173767a8428f6fb67911e4c67a9b699648,2016-05,Staffordshire Police,Staffordshire Police,-2.190843,53.059543,On or near Supermarket,E01014243,Stoke-on-Trent 006C,Further investigation is not in the public interest
a57dce29176d7b893f3c42798faab73528eb407bf03585a50ebc084c25363af3,2016-05,Staffordshire Police,Staffordshire Police,-1.639560,52.812053,On or near VICTORIA STREET,E01029447,East Staffordshire 009C,Further investigation is not in the public interest
997a01722aba6046a744df4c4e50bcabdda757237b570ecb02aa8271a6c4a630,2016-05,Staffordshire Police,Staffordshire Police,-1.644851,52.820024,On or near WARWICK STREET,E01029436,East Staffordshire 007C,Further investigation is not in the public interest
acfa9539df6812297a1eee52c0e75a8d26931dd14166325b0d4b356ca4262a9b,2016-05,Staffordshire Police,Staffordshire Police,-1.807871,52.873707,On or near BAG LANE,E01029425,East Staffordshire 006D,Further investigation is not in the public interest
dfc4855d2d25cda181a6c4197bfbe3c230840c19f5e5f870f1f0a3e9f312d6e5,2016-05,Staffordshire Police,Staffordshire Police,-1.630101,52.807817,On or near Police Station,E01032897,East Staffordshire 011G,Further investigation is not in the public interest
5411fe50852e20624e128f52e7a55b5ca43307a8bf56b87e4c146d4a6d554bc9,2016-05,Staffordshire Police,Staffordshire Police,-1.724740,52.686472,On or near Park/Open Space,E01029531,Lichfield 008D,Further investigation is not in the public interest
aff85eb721d8a3a0dce929aefc02ca7116186f662e844d21dea30a9b01e2415e,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Further investigation is not in the public interest
4e5183d42c7725b0985c6d8508a6e1691a946c65add669d1e8c578d83a945171,2016-05,Staffordshire Police,Staffordshire Police,-1.919232,52.958029,On or near SANDY LANE,E01029406,East Staffordshire 001B,Further investigation is not in the public interest
a4adb9f924913eb2943935ecfae2498574158814aafcd7a51c410a8e9c55d927,2016-05,Staffordshire Police,Staffordshire Police,-1.762046,52.673400,On or near MAIN STREET,E01029531,Lichfield 008D,Further investigation is not in the public interest
d6b903a1a755454166a0654427271fb0d3788e84d9a9d3c8e685272632940bd8,2016-05,Staffordshire Police,Staffordshire Police,-1.682555,52.597799,On or near Sports/Recreation Area,E01029862,Tamworth 009C,Further investigation is not in the public interest
54aa4043414466146d248d6e338381990bf2a5efe4e469866dfafeddc995d918,2016-05,Staffordshire Police,Staffordshire Police,-2.009328,52.718371,On or near HILLSIDE CLOSE,E01029386,Cannock Chase 005B,Further investigation is not in the public interest
1a9b46b33a4e5515467f7a61b87854dbc9c0748531b8940aae20c5970d9199b5,2016-05,Staffordshire Police,Staffordshire Police,-2.117383,52.706914,On or near RODBASTON DRIVE,E01029658,South Staffordshire 001D,Further investigation is not in the public interest
5f189dceb452fdc320577bbb2b1dbeb8e084de07d5991b954e4c38701621a4c9,2016-05,Staffordshire Police,Staffordshire Police,-1.612190,52.805099,On or near ASHLEY CLOSE,E01029471,East Staffordshire 010D,Further investigation is not in the public interest
d2a8515810ef03ebe0283cb5128fe45e3ed54c378ccb6d2b57429f37db83a404,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Further investigation is not in the public interest
ad78533aef3625765bed0d0660f8e0e5466c5c6a8ebe1731f3050640657b0f92,2016-05,Staffordshire Police,Staffordshire Police,-1.646629,52.798428,On or near WALKER STREET,E01029408,East Staffordshire 011B,Further investigation is not in the public interest
ec446b2d907a0a447545e33d6df118b05d8edcb442470077c3197f45630c80ba,2016-05,Staffordshire Police,Staffordshire Police,-1.675900,52.633345,On or near JESSOP DRIVE,E01029834,Tamworth 004D,Further investigation is not in the public interest
2db80cfc40a3863d8b45bd1d659a6ab4a9a957baf22e43dbbe98982f3cc0caf0,2016-05,Staffordshire Police,Staffordshire Police,-2.055378,52.968551,On or near BRIDGWOOD ROAD,E01029798,Staffordshire Moorlands 012C,Action to be taken by another organisation
63d028452cc60a31b560139ce5a5bbb72a3385e60808cbe074f6aa3b75e6f59d,2016-05,Staffordshire Police,Staffordshire Police,-2.165222,53.031949,On or near MOUNT STREET,E01014327,Stoke-on-Trent 013B,Action to be taken by another organisation
7066cd8ebcdbdfd6c95c5eb75e1c7bd736cbaea4149450c5ce2c60b3bb3e9aa8,2016-05,Staffordshire Police,Staffordshire Police,-2.055378,52.968551,On or near BRIDGWOOD ROAD,E01029798,Staffordshire Moorlands 012C,Action to be taken by another organisation
62cfb1a7abfc9a575fe1a13330031d36dc2ef2397dd8d892ee8504b8a358f298,2016-05,Staffordshire Police,Staffordshire Police,-2.103349,52.973445,On or near HARROWBY ROAD,E01014317,Stoke-on-Trent 031D,Action to be taken by another organisation
bd621fc2a00694dbb97b6ed342c013af57114e7486d664fde3a1497dbae26171,2016-05,Staffordshire Police,Staffordshire Police,-2.183519,52.996954,On or near NICHOLLS STREET,E01014339,Stoke-on-Trent 019C,Action to be taken by another organisation
4be676eb829d40e47fca23ce39a8c1c5a5c2227118574191692761bc179481f1,2016-05,Staffordshire Police,Staffordshire Police,-2.253122,53.023793,On or near PENTLAND GROVE,E01029568,Newcastle-under-Lyme 007E,Action to be taken by another organisation
c4c4a250ef1c8662f38030fa6dc28dea2346d07dcb0a2af3068b2eadefb33990,2016-05,Staffordshire Police,Staffordshire Police,-1.960176,52.998995,On or near LOCKWOOD ROAD,E01029782,Staffordshire Moorlands 010B,Action to be taken by another organisation
